,year,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,n_teams,pos,goals,goals_permatch
0,1951,Hibernian,30.0,13,1,1.0,44.0,9.0,9.0,3.0,3.0,34.0,17.0,48.0,16,1,78.0,2.6
1,1951,Rangers,30.0,10,3,2.0,36.0,13.0,7.0,1.0,7.0,28.0,24.0,38.0,16,2,64.0,2.1333333333333333
2,1951,Dundee,30.0,11,3,1.0,32.0,12.0,4.0,5.0,6.0,15.0,18.0,38.0,16,3,47.0,1.5666666666666667
3,1951,Hearts,30.0,10,3,2.0,46.0,17.0,6.0,2.0,7.0,26.0,28.0,37.0,16,4,72.0,2.4
4,1951,Aberdeen,30.0,9,2,4.0,35.0,21.0,6.0,3.0,6.0,26.0,29.0,35.0,16,5,61.0,2.033333333333333
5,1951,Partick Thistle,30.0,9,4,2.0,30.0,15.0,4.0,3.0,8.0,27.0,33.0,33.0,16,6,57.0,1.9
6,1951,Celtic,30.0,6,3,6.0,29.0,25.0,6.0,2.0,7.0,19.0,21.0,29.0,16,7,48.0,1.6
7,1951,Raith Rovers,30.0,8,2,5.0,30.0,16.0,5.0,0.0,10.0,22.0,36.0,28.0,16,8,52.0,1.7333333333333334
8,1951,Motherwell,30.0,7,3,5.0,35.0,27.0,4.0,3.0,8.0,23.0,38.0,28.0,16,9,58.0,1.9333333333333333
9,1951,East Fife,30.0,7,4,4.0,28.0,24.0,3.0,4.0,8.0,20.0,42.0,28.0,16,10,48.0,1.6
10,1951,St. Mirren,30.0,7,3,5.0,22.0,20.0,2.0,4.0,9.0,13.0,31.0,25.0,16,11,35.0,1.1666666666666667
11,1951,Morton,30.0,6,0,9.0,30.0,29.0,4.0,4.0,7.0,17.0,30.0,24.0,16,12,47.0,1.5666666666666667
12,1951,Third Lanark,30.0,7,1,7.0,22.0,21.0,4.0,1.0,10.0,18.0,30.0,24.0,16,13,40.0,1.3333333333333333
13,1951,Airdrieonians,30.0,7,2,6.0,39.0,31.0,3.0,2.0,10.0,13.0,36.0,24.0,16,14,52.0,1.7333333333333334
14,1951,Clyde,30.0,6,4,5.0,19.0,23.0,2.0,3.0,10.0,18.0,34.0,23.0,16,15,37.0,1.2333333333333334
15,1951,Falkirk,30.0,6,3,6.0,24.0,27.0,1.0,1.0,13.0,11.0,54.0,18.0,16,16,35.0,1.1666666666666667
0,1952,Hibernian,30.0,12,2,1.0,58.0,15.0,8.0,3.0,4.0,34.0,21.0,45.0,16,1,92.0,3.066666666666667
1,1952,Rangers,30.0,10,4,1.0,32.0,13.0,6.0,5.0,4.0,29.0,18.0,41.0,16,2,61.0,2.033333333333333
2,1952,East Fife,30.0,11,2,2.0,44.0,19.0,6.0,1.0,8.0,27.0,30.0,37.0,16,3,71.0,2.3666666666666667
3,1952,Hearts,30.0,9,5,1.0,44.0,25.0,5.0,2.0,8.0,25.0,28.0,35.0,16,4,69.0,2.3
4,1952,Raith Rovers,30.0,9,2,4.0,23.0,14.0,5.0,3.0,7.0,20.0,28.0,33.0,16,5,43.0,1.4333333333333333
5,1952,Partick Thistle,30.0,7,3,5.0,28.0,24.0,5.0,4.0,6.0,20.0,27.0,31.0,16,6,48.0,1.6
6,1952,Motherwell,30.0,8,4,3.0,33.0,24.0,4.0,3.0,8.0,18.0,33.0,31.0,16,7,51.0,1.7
7,1952,Dundee,30.0,7,3,5.0,31.0,22.0,4.0,3.0,8.0,22.0,30.0,28.0,16,8,53.0,1.7666666666666666
8,1952,Celtic,30.0,7,5,3.0,30.0,22.0,3.0,3.0,9.0,22.0,33.0,28.0,16,9,52.0,1.7333333333333334
9,1952,Queen Of The South,30.0,10,3,2.0,38.0,18.0,0.0,5.0,10.0,12.0,42.0,28.0,16,10,50.0,1.6666666666666667
10,1952,Aberdeen,30.0,7,4,4.0,37.0,24.0,3.0,3.0,9.0,28.0,34.0,27.0,16,11,65.0,2.1666666666666665
11,1952,Third Lanark,30.0,7,3,5.0,28.0,23.0,2.0,5.0,8.0,23.0,39.0,26.0,16,12,51.0,1.7
12,1952,Airdrieonians,30.0,7,3,5.0,31.0,26.0,4.0,1.0,10.0,23.0,43.0,26.0,16,13,54.0,1.8
13,1952,St. Mirren,30.0,9,2,4.0,28.0,19.0,1.0,3.0,11.0,15.0,39.0,25.0,16,14,43.0,1.4333333333333333
14,1952,Morton,30.0,7,1,7.0,30.0,23.0,2.0,5.0,8.0,19.0,33.0,24.0,16,15,49.0,1.6333333333333333
15,1952,Stirling Albion,30.0,4,4,7.0,22.0,40.0,1.0,1.0,13.0,14.0,59.0,15.0,16,16,36.0,1.2
0,1953,Rangers,30.0,12,1,2.0,49.0,14.0,6.0,6.0,3.0,31.0,25.0,43.0,16,1,80.0,2.6666666666666665
1,1953,Hibernian,30.0,10,3,2.0,45.0,18.0,9.0,2.0,4.0,48.0,33.0,43.0,16,2,93.0,3.1
2,1953,East Fife,30.0,11,2,2.0,49.0,21.0,5.0,5.0,5.0,23.0,27.0,39.0,16,3,72.0,2.4
3,1953,Hearts,30.0,8,3,4.0,36.0,18.0,4.0,3.0,8.0,23.0,32.0,30.0,16,4,59.0,1.9666666666666666
4,1953,Clyde,30.0,8,2,5.0,43.0,30.0,5.0,2.0,8.0,35.0,48.0,30.0,16,5,78.0,2.6
5,1953,St. Mirren,30.0,6,6,3.0,29.0,21.0,5.0,2.0,8.0,23.0,37.0,30.0,16,6,52.0,1.7333333333333334
6,1953,Dundee,30.0,8,5,2.0,30.0,11.0,1.0,6.0,8.0,14.0,26.0,29.0,16,7,44.0,1.4666666666666666
7,1953,Celtic,30.0,7,3,5.0,33.0,26.0,4.0,4.0,7.0,18.0,28.0,29.0,16,8,51.0,1.7
8,1953,Partick Thistle,30.0,6,4,5.0,32.0,33.0,4.0,5.0,6.0,23.0,30.0,29.0,16,9,55.0,1.8333333333333333
9,1953,Queen Of The South,30.0,8,3,4.0,31.0,24.0,2.0,5.0,8.0,12.0,37.0,28.0,16,10,43.0,1.4333333333333333
10,1953,Aberdeen,30.0,8,4,3.0,45.0,26.0,3.0,1.0,11.0,19.0,42.0,27.0,16,11,64.0,2.1333333333333333
11,1953,Raith Rovers,30.0,5,7,3.0,25.0,20.0,4.0,1.0,10.0,22.0,33.0,26.0,16,12,47.0,1.5666666666666667
12,1953,Falkirk,30.0,7,1,7.0,29.0,28.0,4.0,3.0,8.0,24.0,35.0,26.0,16,13,53.0,1.7666666666666666
13,1953,Airdrieonians,30.0,6,4,5.0,33.0,33.0,4.0,2.0,9.0,20.0,42.0,26.0,16,14,53.0,1.7666666666666666
14,1953,Motherwell,30.0,7,2,6.0,34.0,39.0,3.0,3.0,9.0,23.0,41.0,25.0,16,15,57.0,1.9
15,1953,Third Lanark,30.0,6,2,7.0,24.0,24.0,2.0,2.0,11.0,28.0,51.0,20.0,16,16,52.0,1.7333333333333334
0,1954,Celtic,30.0,14,1,0.0,40.0,7.0,6.0,2.0,7.0,32.0,22.0,43.0,16,1,72.0,2.4
1,1954,Hearts,30.0,9,3,3.0,42.0,24.0,7.0,3.0,5.0,28.0,21.0,38.0,16,2,70.0,2.3333333333333335
2,1954,Partick Thistle,30.0,9,0,6.0,42.0,22.0,8.0,1.0,6.0,34.0,32.0,35.0,16,3,76.0,2.533333333333333
3,1954,Rangers,30.0,9,4,2.0,35.0,11.0,4.0,4.0,7.0,21.0,24.0,34.0,16,4,56.0,1.8666666666666667
4,1954,Hibernian,30.0,9,1,5.0,38.0,18.0,6.0,3.0,6.0,34.0,33.0,34.0,16,5,72.0,2.4
5,1954,East Fife,30.0,11,3,1.0,37.0,13.0,2.0,5.0,8.0,18.0,32.0,34.0,16,6,55.0,1.8333333333333333
6,1954,Dundee,30.0,11,3,1.0,31.0,12.0,3.0,3.0,9.0,15.0,35.0,34.0,16,7,46.0,1.5333333333333334
7,1954,Clyde,30.0,8,1,6.0,36.0,36.0,7.0,3.0,5.0,28.0,31.0,34.0,16,8,64.0,2.1333333333333333
8,1954,Aberdeen,30.0,10,2,3.0,36.0,14.0,5.0,1.0,9.0,30.0,37.0,33.0,16,9,66.0,2.2
9,1954,Queen Of The South,30.0,10,2,3.0,50.0,28.0,4.0,2.0,9.0,22.0,30.0,32.0,16,10,72.0,2.4
10,1954,St. Mirren,30.0,7,3,5.0,27.0,22.0,5.0,1.0,9.0,17.0,32.0,28.0,16,11,44.0,1.4666666666666666
11,1954,Raith Rovers,30.0,7,3,5.0,37.0,21.0,3.0,3.0,9.0,19.0,39.0,26.0,16,12,56.0,1.8666666666666667
12,1954,Falkirk,30.0,5,5,5.0,31.0,31.0,4.0,2.0,9.0,16.0,30.0,25.0,16,13,47.0,1.5666666666666667
13,1954,Stirling Albion,30.0,8,1,6.0,27.0,21.0,2.0,3.0,10.0,12.0,41.0,24.0,16,14,39.0,1.3
14,1954,Airdrieonians,30.0,4,5,6.0,29.0,35.0,1.0,0.0,14.0,12.0,57.0,15.0,16,15,41.0,1.3666666666666667
15,1954,Hamilton Academical,30.0,4,1,10.0,17.0,35.0,0.0,2.0,13.0,12.0,59.0,11.0,16,16,29.0,0.9666666666666667
0,1955,Aberdeen,30.0,14,0,1.0,41.0,9.0,10.0,1.0,4.0,32.0,17.0,49.0,16,1,73.0,2.433333333333333
1,1955,Celtic,30.0,10,4,1.0,42.0,16.0,9.0,4.0,2.0,34.0,21.0,46.0,16,2,76.0,2.533333333333333
2,1955,Rangers,30.0,13,2,0.0,40.0,8.0,6.0,1.0,8.0,27.0,25.0,41.0,16,3,67.0,2.2333333333333334
3,1955,Hearts,30.0,10,2,3.0,40.0,25.0,6.0,5.0,4.0,34.0,20.0,39.0,16,4,74.0,2.466666666666667
4,1955,Hibernian,30.0,8,2,5.0,28.0,23.0,7.0,2.0,6.0,36.0,31.0,34.0,16,5,64.0,2.1333333333333333
5,1955,St. Mirren,30.0,8,3,4.0,31.0,23.0,4.0,5.0,6.0,24.0,31.0,32.0,16,6,55.0,1.8333333333333333
6,1955,Clyde,30.0,6,7,2.0,33.0,20.0,5.0,2.0,8.0,26.0,30.0,31.0,16,7,59.0,1.9666666666666666
7,1955,Dundee,30.0,9,2,4.0,32.0,21.0,4.0,2.0,9.0,16.0,27.0,30.0,16,8,48.0,1.6
8,1955,Partick Thistle,30.0,5,5,5.0,24.0,29.0,6.0,2.0,7.0,25.0,32.0,29.0,16,9,49.0,1.6333333333333333
9,1955,Kilmarnock,30.0,5,3,7.0,18.0,24.0,5.0,3.0,7.0,28.0,34.0,26.0,16,10,46.0,1.5333333333333334
10,1955,East Fife,30.0,6,1,8.0,32.0,35.0,3.0,5.0,7.0,19.0,27.0,24.0,16,11,51.0,1.7
11,1955,Falkirk,30.0,6,6,3.0,28.0,23.0,2.0,2.0,11.0,14.0,31.0,24.0,16,12,42.0,1.4
12,1955,Queen Of The South,30.0,7,2,6.0,22.0,29.0,2.0,4.0,9.0,16.0,27.0,24.0,16,13,38.0,1.2666666666666666
13,1955,Raith Rovers,30.0,9,1,5.0,34.0,23.0,1.0,2.0,12.0,15.0,34.0,23.0,16,14,49.0,1.6333333333333333
14,1955,Motherwell,30.0,5,2,8.0,23.0,31.0,4.0,2.0,9.0,19.0,31.0,22.0,16,15,42.0,1.4
15,1955,Stirling Albion,30.0,2,1,12.0,15.0,40.0,0.0,1.0,14.0,14.0,65.0,6.0,16,16,29.0,0.9666666666666667
0,1956,Rangers,34.0,12,4,1.0,51.0,13.0,10.0,4.0,3.0,34.0,14.0,52.0,18,1,85.0,2.5
1,1956,Aberdeen,34.0,11,3,3.0,52.0,29.0,7.0,7.0,3.0,35.0,21.0,46.0,18,2,87.0,2.5588235294117645
2,1956,Hearts,34.0,13,2,2.0,65.0,17.0,6.0,5.0,6.0,34.0,30.0,45.0,18,3,99.0,2.911764705882353
3,1956,Hibernian,34.0,11,4,2.0,57.0,24.0,8.0,3.0,6.0,29.0,26.0,45.0,18,4,86.0,2.5294117647058822
4,1956,Celtic,34.0,9,4,4.0,31.0,18.0,7.0,5.0,5.0,24.0,21.0,41.0,18,5,55.0,1.6176470588235294
5,1956,Queen Of The South,34.0,12,2,3.0,46.0,23.0,4.0,3.0,10.0,23.0,50.0,37.0,18,6,69.0,2.0294117647058822
6,1956,Airdrieonians,34.0,8,4,5.0,41.0,41.0,6.0,4.0,7.0,44.0,55.0,36.0,18,7,85.0,2.5
7,1956,Kilmarnock,34.0,7,6,4.0,26.0,20.0,5.0,4.0,8.0,26.0,25.0,34.0,18,8,52.0,1.5294117647058822
8,1956,Partick Thistle,34.0,8,4,5.0,36.0,22.0,5.0,3.0,9.0,26.0,38.0,33.0,18,9,62.0,1.8235294117647058
9,1956,Motherwell,34.0,7,6,4.0,30.0,21.0,4.0,5.0,8.0,23.0,38.0,33.0,18,10,53.0,1.5588235294117647
10,1956,Raith Rovers,34.0,6,7,4.0,30.0,30.0,6.0,2.0,9.0,28.0,45.0,33.0,18,11,58.0,1.7058823529411764
11,1956,East Fife,34.0,11,3,3.0,43.0,21.0,2.0,2.0,13.0,18.0,48.0,31.0,18,12,61.0,1.7941176470588236
12,1956,Dundee,34.0,10,2,5.0,35.0,24.0,2.0,4.0,11.0,21.0,41.0,30.0,18,13,56.0,1.6470588235294117
13,1956,Falkirk,34.0,9,2,6.0,37.0,28.0,2.0,4.0,11.0,21.0,47.0,28.0,18,14,58.0,1.7058823529411764
14,1956,St. Mirren,34.0,9,2,6.0,39.0,23.0,1.0,5.0,11.0,18.0,47.0,27.0,18,15,57.0,1.6764705882352942
15,1956,Dunfermline Athletic,34.0,6,4,7.0,26.0,36.0,4.0,2.0,11.0,16.0,46.0,26.0,18,16,42.0,1.2352941176470589
16,1956,Clyde,34.0,2,4,11.0,21.0,40.0,6.0,2.0,9.0,29.0,34.0,22.0,18,17,50.0,1.4705882352941178
17,1956,Stirling Albion,34.0,4,3,10.0,15.0,27.0,0.0,2.0,15.0,8.0,55.0,13.0,18,18,23.0,0.6764705882352942
0,1957,Rangers,34.0,13,2,2.0,51.0,22.0,13.0,1.0,3.0,45.0,26.0,55.0,18,1,96.0,2.823529411764706
1,1957,Hearts,34.0,11,3,3.0,40.0,23.0,13.0,2.0,2.0,41.0,25.0,53.0,18,2,81.0,2.3823529411764706
2,1957,Kilmarnock,34.0,9,6,2.0,35.0,20.0,7.0,4.0,6.0,22.0,19.0,42.0,18,3,57.0,1.6764705882352942
3,1957,Raith Rovers,34.0,10,2,5.0,52.0,32.0,6.0,5.0,6.0,32.0,26.0,39.0,18,4,84.0,2.4705882352941178
4,1957,Celtic,34.0,9,6,2.0,33.0,14.0,6.0,2.0,9.0,25.0,29.0,38.0,18,5,58.0,1.7058823529411764
5,1957,Aberdeen,34.0,10,1,6.0,36.0,24.0,8.0,1.0,8.0,43.0,35.0,38.0,18,6,79.0,2.323529411764706
