,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Aberdeen,36.0,10,4,4.0,30.0,18.0,9.0,6.0,3.0,38.0,18.0,48.0,1980
2,Celtic,36.0,13,3,2.0,44.0,17.0,5.0,8.0,5.0,17.0,21.0,47.0,1980
3,St. Mirren,36.0,11,5,2.0,37.0,23.0,4.0,7.0,7.0,19.0,26.0,42.0,1980
4,Dundee United,36.0,9,7,2.0,23.0,6.0,3.0,6.0,9.0,20.0,24.0,37.0,1980
5,Rangers,36.0,11,5,2.0,29.0,16.0,4.0,2.0,12.0,21.0,30.0,37.0,1980
6,Morton,36.0,9,4,5.0,24.0,16.0,5.0,4.0,9.0,27.0,30.0,36.0,1980
7,Partick Thistle,36.0,6,8,4.0,24.0,22.0,5.0,6.0,7.0,19.0,25.0,36.0,1980
8,Kilmarnock,36.0,7,6,5.0,19.0,19.0,4.0,5.0,9.0,17.0,33.0,33.0,1980
9,Dundee,36.0,9,3,6.0,33.0,30.0,1.0,3.0,14.0,14.0,43.0,26.0,1980
10,Hibernian,36.0,6,4,8.0,23.0,31.0,0.0,2.0,16.0,6.0,36.0,18.0,1980
