,Club,P,W,D,L,F,A,W.1,D.1,L.1,F.1,A.1,Pts,Unnamed: 13,year
1,Celtic,36.0,10,6,2.0,27.0,15.0,10.0,4.0,4.0,40.0,23.0,50.0,(on goal difference),1986
2,Hearts,36.0,13,5,0.0,38.0,10.0,7.0,5.0,6.0,21.0,23.0,50.0,,1986
3,Dundee United,36.0,10,6,2.0,38.0,15.0,8.0,5.0,5.0,21.0,16.0,47.0,,1986
4,Aberdeen,36.0,11,4,3.0,38.0,15.0,5.0,8.0,5.0,24.0,16.0,44.0,,1986
5,Rangers,36.0,10,4,4.0,34.0,18.0,3.0,5.0,10.0,19.0,27.0,35.0,,1986
6,Dundee,36.0,11,2,5.0,32.0,20.0,3.0,5.0,10.0,13.0,31.0,35.0,,1986
7,St. Mirren,36.0,9,2,7.0,26.0,24.0,4.0,3.0,11.0,16.0,39.0,31.0,,1986
8,Hibernian,36.0,6,4,8.0,27.0,25.0,5.0,2.0,11.0,22.0,38.0,28.0,,1986
9,Motherwell,36.0,7,3,8.0,23.0,23.0,0.0,3.0,15.0,10.0,43.0,20.0,,1986
10,Clydebank,36.0,4,6,8.0,18.0,32.0,2.0,2.0,14.0,11.0,45.0,20.0,,1986
